Original_Filename,Current_Path,File_Type,Last_Modified,Guessed_Role,Guessed_Company,Resume_Type,Notes,Duplicate_Warning
Deva_Resume (1).pdf,Latest_6/Deva_Resume (1).pdf,pdf,2026-04-30,Applied ML / Deep Learning / Predictive Modeling,(general),Customized,"Tagline: ""Applied Machine Learning • Deep Learning • Predictive Modeling""; near-identical to Deva_Resume_Adobe_ML.pdf in body content","Near-duplicate of Deva_Resume_Adobe_ML.pdf"
Deva_Resume_coreAI.pdf,Latest_6/Deva_Resume_coreAI.pdf,pdf,2026-04-30,LLM Systems / Agentic AI / Model Evaluation,Microsoft Core AI,Customized,"Tagline: ""LLM Systems • Agentic AI • Model Evaluation""; companion .tex source in same folder",
Deva_Resume_Microsoft_CoreAI.tex,Latest_6/Deva_Resume_Microsoft_CoreAI.tex,tex,2026-04-30,LLM Systems / Agentic AI / Model Evaluation,Microsoft Core AI,Source,"LaTeX source of Deva_Resume_coreAI.pdf",
Deva_Resume_Adobe_ML.pdf,Latest_6/Deva_Resume_Adobe_ML.pdf,pdf,2026-04-26,Applied ML / Deep Learning,Adobe ML,Customized,"Tagline: ""Applied Machine Learning • Deep Learning • Predictive Modeling""","Body near-identical to Deva_Resume (1).pdf and Deva_Anand_Resume_Adobe_ML_Intern.pdf"
Deva_Anand_Resume_Adobe_ML_Intern.pdf,Latest_6/Deva_Anand_Resume_Adobe_ML_Intern.pdf,pdf,2026-04-26,Applied ML Intern,Adobe ML Intern,Customized,"Same content family as Deva_Resume_Adobe_ML.pdf; companion .tex + .log present",
Deva_Anand_Resume_Adobe_ML_Intern.tex,Latest_6/Deva_Anand_Resume_Adobe_ML_Intern.tex,tex,2026-04-26,Applied ML Intern,Adobe ML Intern,Source,"LaTeX source of the Adobe ML Intern PDF",
Deva_Anand_Resume_Adobe_ML_Intern.log,Latest_6/Deva_Anand_Resume_Adobe_ML_Intern.log,log,2026-04-26,Applied ML Intern,Adobe ML Intern,Build log,"pdflatex/xelatex compile log; can be deleted by user any time",
Deva_Resume.pdf,Latest_6/Deva_Resume.pdf,pdf,2026-04-26,SWE / Applied ML / Deep Learning,(general),General,"Tagline: ""Software Engineer • Applied ML • Deep Learning""; balanced backend + ML",
Deva_Resume_SDE.pdf,Latest_6/Deva_Resume_SDE.pdf,pdf,2026-04-22,SDE / Backend / Full-Stack / Distributed Systems,(general SDE),Customized,"Tagline: ""Software Engineer • Backend & Full-Stack Systems • Distributed Applications""",
Deva_Anand_Resume.pdf,By_Role/SDE_Backend/Deva_Anand_Resume.pdf,pdf,2026-04-22,Backend & Infrastructure / Distributed Systems,(general SDE),Customized,"Body identical to Deva_Resume_SRE.pdf — same byte count","Identical to Deva_Resume_SRE.pdf (binary same size 220089 B)"
Deva_Resume_SRE.pdf,By_Role/SDE_Backend/Deva_Resume_SRE.pdf,pdf,2026-04-22,SRE / Reliability / Backend,(general SRE),Customized,"Tagline: ""Software Engineer • Backend & Infrastructure • Distributed Systems""","Identical body to Deva_Anand_Resume.pdf"
